	CHNL_k1535-2024	ENERGY_k1535-2024	COUNTS_k1535-2024
1	1	14.5029025	0
2	2	15.7939778	0
3	3	17.0850530	0
4	4	18.3761282	0
5	5	19.6672035	0
6	6	20.9582787	0
7	7	22.2493539	0
8	8	23.5404291	0
9	9	24.8315044	0
10	10	26.1225796	0
11	11	27.4136548	0
12	12	28.7047301	0
13	13	29.9958053	0
14	14	31.2868805	0
15	15	32.5779558	0
16	16	33.8690310	0
17	17	35.1601062	0
18	18	36.4511814	0
19	19	37.7422567	0
20	20	39.0333319	0
21	21	40.3244071	240
22	22	41.6154824	266
23	23	42.9065576	1328
24	24	44.1976328	39080
25	25	45.4887081	332335
26	26	46.7797833	911157
27	27	48.0708585	1300176
28	28	49.3619337	1471445
29	29	50.6530090	1546735
30	30	51.9440842	1383167
31	31	53.2351594	976288
32	32	54.5262347	663094
33	33	55.8173099	531013
34	34	57.1083851	473810
35	35	58.3994604	460058
36	36	59.6905356	453926
37	37	60.9816108	436249
38	38	62.2726860	414449
39	39	63.5637613	390632
40	40	64.8548365	362965
41	41	66.1459117	325359
42	42	67.4369870	297133
43	43	68.7280622	287342
44	44	70.0191374	282344
45	45	71.3102127	283176
46	46	72.6012879	290405
47	47	73.8923631	309022
48	48	75.1834383	337000
49	49	76.4745136	368961
50	50	77.7655888	386749
51	51	79.0566640	383553
52	52	80.3477393	361586
53	53	81.6388145	328300
54	54	82.9298897	290038
55	55	84.2209650	253926
56	56	85.5120402	224892
57	57	86.8031154	208194
58	58	88.0941906	200953
59	59	89.3852659	197885
60	60	90.6763411	193393
61	61	91.9674163	188887
62	62	93.2584916	178363
63	63	94.5495668	164814
64	64	95.8406420	149186
65	65	97.1317173	132988
66	66	98.4227925	118242
67	67	99.7138677	105336
68	68	101.004943	95326
69	69	102.296018	88457
70	70	103.587093	83819
71	71	104.878169	80752
72	72	106.169244	78363
73	73	107.460319	76436
74	74	108.751394	73416
75	75	110.042470	71256
76	76	111.333545	68189
77	77	112.624620	65328
78	78	113.915695	62798
79	79	115.206770	61019
80	80	116.497845	59100
81	81	117.788921	57732
82	82	119.079996	57192
83	83	120.371071	57412
84	84	121.662146	58178
85	85	122.953222	59906
86	86	124.244297	62284
87	87	125.535372	63071
88	88	126.826447	62563
89	89	128.117522	61750
90	90	129.408598	60914
91	91	130.699673	59333
92	92	131.990748	56707
93	93	133.281823	54601
94	94	134.572899	51875
95	95	135.863974	49738
96	96	137.155049	47345
97	97	138.446124	46220
98	98	139.737200	45583
99	99	141.028275	45003
100	100	142.319350	44636
101	101	143.610425	44708
102	102	144.901500	45219
103	103	146.192576	45243
104	104	147.483651	45064
105	105	148.774726	45198
106	106	150.065801	45104
107	107	151.356877	44224
108	108	152.647952	43890
109	109	153.939027	43020
110	110	155.230102	41797
111	111	156.521178	41269
112	112	157.812253	40838
113	113	159.103328	39954
114	114	160.394403	39496
115	115	161.685478	39362
116	116	162.976554	39029
117	117	164.267629	39481
118	118	165.558704	39518
119	119	166.849779	39352
120	120	168.140855	39632
121	121	169.431930	39655
122	122	170.723005	39840
123	123	172.014080	40075
124	124	173.305156	39840
125	125	174.596231	40001
