	CHNL_k1527-2024	ENERGY_k1527-2024	COUNTS_k1527-2024
1	1	14.5029025	0
2	2	15.7939778	0
3	3	17.0850530	0
4	4	18.3761282	0
5	5	19.6672035	0
6	6	20.9582787	0
7	7	22.2493539	0
8	8	23.5404291	0
9	9	24.8315044	0
10	10	26.1225796	0
11	11	27.4136548	0
12	12	28.7047301	0
13	13	29.9958053	0
14	14	31.2868805	0
15	15	32.5779558	0
16	16	33.8690310	0
17	17	35.1601062	0
18	18	36.4511814	0
19	19	37.7422567	0
20	20	39.0333319	0
21	21	40.3244071	26
22	22	41.6154824	29
23	23	42.9065576	182
24	24	44.1976328	5976
25	25	45.4887081	51024
26	26	46.7797833	144035
27	27	48.0708585	216882
28	28	49.3619337	259233
29	29	50.6530090	286234
30	30	51.9440842	260722
31	31	53.2351594	200502
32	32	54.5262347	159280
33	33	55.8173099	142466
34	34	57.1083851	136545
35	35	58.3994604	134942
36	36	59.6905356	137441
37	37	60.9816108	141099
38	38	62.2726860	145808
39	39	63.5637613	147656
40	40	64.8548365	157489
41	41	66.1459117	168922
42	42	67.4369870	167424
43	43	68.7280622	162745
44	44	70.0191374	156023
45	45	71.3102127	150736
46	46	72.6012879	144631
47	47	73.8923631	139656
48	48	75.1834383	134213
49	49	76.4745136	129422
50	50	77.7655888	123233
51	51	79.0566640	118399
52	52	80.3477393	112361
53	53	81.6388145	105832
54	54	82.9298897	99749
55	55	84.2209650	93767
56	56	85.5120402	88001
57	57	86.8031154	81646
58	58	88.0941906	75302
59	59	89.3852659	69309
60	60	90.6763411	65633
61	61	91.9674163	62989
62	62	93.2584916	60663
63	63	94.5495668	55282
64	64	95.8406420	40645
65	65	97.1317173	26159
66	66	98.4227925	21501
67	67	99.7138677	20508
68	68	101.004943	20352
69	69	102.296018	19990
70	70	103.587093	19569
71	71	104.878169	19315
72	72	106.169244	19325
73	73	107.460319	19010
74	74	108.751394	18295
75	75	110.042470	18716
76	76	111.333545	18359
77	77	112.624620	18081
78	78	113.915695	17939
79	79	115.206770	17629
80	80	116.497845	17333
81	81	117.788921	17168
82	82	119.079996	16986
83	83	120.371071	16824
84	84	121.662146	16925
85	85	122.953222	16641
86	86	124.244297	16393
87	87	125.535372	16096
88	88	126.826447	15925
89	89	128.117522	15618
90	90	129.408598	15874
91	91	130.699673	15559
92	92	131.990748	15443
93	93	133.281823	15107
94	94	134.572899	15099
95	95	135.863974	14623
96	96	137.155049	14718
97	97	138.446124	14499
98	98	139.737200	14326
99	99	141.028275	14050
100	100	142.319350	14066
101	101	143.610425	13837
102	102	144.901500	13727
103	103	146.192576	13366
104	104	147.483651	13318
105	105	148.774726	13206
106	106	150.065801	13049
107	107	151.356877	12553
108	108	152.647952	12455
109	109	153.939027	12027
110	110	155.230102	12039
111	111	156.521178	11835
112	112	157.812253	11874
113	113	159.103328	11755
114	114	160.394403	11564
115	115	161.685478	11217
116	116	162.976554	11284
117	117	164.267629	11100
118	118	165.558704	11204
119	119	166.849779	10979
120	120	168.140855	10708
121	121	169.431930	10901
122	122	170.723005	10474
123	123	172.014080	10658
124	124	173.305156	10423
125	125	174.596231	10351
