	CHNL_k1519-2024	ENERGY_k1519-2024	COUNTS_k1519-2024
259	259	347.600312	83693
260	260	348.891387	69942
261	261	350.182462	60079
262	262	351.473537	53041
263	263	352.764612	48279
264	264	354.055688	45536
265	265	355.346763	43583
266	266	356.637838	42423
267	267	357.928913	42451
268	268	359.219989	42276
269	269	360.511064	42427
270	270	361.802139	42625
271	271	363.093214	42739
272	272	364.384290	43295
273	273	365.675365	43174
274	274	366.966440	43537
275	275	368.257515	43124
276	276	369.548590	42477
277	277	370.839666	42040
278	278	372.130741	42174
279	279	373.421816	41390
280	280	374.712891	41354
281	281	376.003967	40996
282	282	377.295042	40146
283	283	378.586117	39585
284	284	379.877192	39067
285	285	381.168268	39199
286	286	382.459343	38892
287	287	383.750418	38262
288	288	385.041493	38422
289	289	386.332568	38220
290	290	387.623644	37802
291	291	388.914719	37791
292	292	390.205794	37540
293	293	391.496869	37180
294	294	392.787945	36729
295	295	394.079020	36202
296	296	395.370095	36205
297	297	396.661170	35732
298	298	397.952246	35403
299	299	399.243321	35111
300	300	400.534396	34337
301	301	401.825471	33764
302	302	403.116546	33487
303	303	404.407622	32761
304	304	405.698697	32408
305	305	406.989772	31908
306	306	408.280847	31126
307	307	409.571923	30763
308	308	410.862998	30055
309	309	412.154073	29963
310	310	413.445148	29112
311	311	414.736224	28926
312	312	416.027299	28782
313	313	417.318374	28629
314	314	418.609449	28284
315	315	419.900524	28275
316	316	421.191600	28136
317	317	422.482675	28476
318	318	423.773750	28671
319	319	425.064825	28317
320	320	426.355901	28361
321	321	427.646976	28431
322	322	428.938051	28447
323	323	430.229126	28372
324	324	431.520202	28054
325	325	432.811277	28247
326	326	434.102352	28157
327	327	435.393427	28156
328	328	436.684502	28070
329	329	437.975578	27735
330	330	439.266653	28210
331	331	440.557728	28042
332	332	441.848803	28026
333	333	443.139879	27874
334	334	444.430954	28103
335	335	445.722029	28038
336	336	447.013104	28016
337	337	448.304180	27963
338	338	449.595255	27971
339	339	450.886330	27659
340	340	452.177405	27975
341	341	453.468480	27610
342	342	454.759556	27233
343	343	456.050631	26949
344	344	457.341706	26974
345	345	458.632781	26456
346	346	459.923857	26145
347	347	461.214932	25799
348	348	462.506007	25466
349	349	463.797082	24931
350	350	465.088158	24491
351	351	466.379233	24751
352	352	467.670308	24385
353	353	468.961383	24150
354	354	470.252458	23886
355	355	471.543534	24052
356	356	472.834609	23802
